Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10717901,1,"Thursday, May 16, 2013 01:01:19 UTC",64.9620,-150.7750,2.3,5.40,17,"Central Alaska"
ci,15343289,2,"Thursday, May 16, 2013 00:43:29 UTC",33.3782,-116.8377,1.0,9.60,32,"Southern California"
nn,00411964,1,"Thursday, May 16, 2013 00:37:23 UTC",37.9475,-116.9223,1.2,7.00, 7,"Nevada"
ci,15343273,2,"Thursday, May 16, 2013 00:33:59 UTC",33.3758,-116.8297,1.1,7.10,31,"Southern California"
ci,15343265,2,"Thursday, May 16, 2013 00:30:33 UTC",33.3712,-116.8412,2.9,6.90,86,"Southern California"
ci,15343257,2,"Thursday, May 16, 2013 00:20:09 UTC",33.3738,-116.8367,1.9,6.80,55,"Southern California"
us,b000gwrr,B,"Wednesday, May 15, 2013 23:46:30 UTC",40.3990,141.8210,4.9,25.90,83,"near the east coast of Honshu, Japan"
ak,10717708,1,"Wednesday, May 15, 2013 23:38:50 UTC",64.4881,-148.0470,2.1,11.50,13,"Central Alaska"
uw,60530387,2,"Wednesday, May 15, 2013 23:36:47 UTC",47.2557,-122.1857,1.5,24.20,18,"Seattle-Tacoma urban area, Washington"
us,b000gwrk,5,"Wednesday, May 15, 2013 23:16:49 UTC",-4.8731,144.5759,5.2,68.20,31,"near the north coast of New Guinea, Papua New Guinea"
nn,00411953,1,"Wednesday, May 15, 2013 23:05:30 UTC",38.0224,-118.0472,1.3,7.90,10,"Nevada"
us,b000gwrc,5,"Wednesday, May 15, 2013 23:01:16 UTC",-11.3025,165.1153,4.8,7.30,30,"Santa Cruz Islands"
ak,10717677,1,"Wednesday, May 15, 2013 22:58:37 UTC",64.9948,-147.4356,1.2,0.10, 7,"Central Alaska"
nc,71992131,1,"Wednesday, May 15, 2013 22:48:44 UTC",38.7707,-122.7440,1.4,2.30,20,"Northern California"
nn,00411949,1,"Wednesday, May 15, 2013 22:45:53 UTC",38.5222,-117.1625,1.5,15.90, 6,"Nevada"
nc,71992111,3,"Wednesday, May 15, 2013 22:15:50 UTC",39.5082,-121.9877,2.6,22.60,54,"Northern California"
ci,15343201,2,"Wednesday, May 15, 2013 22:10:08 UTC",33.5278,-116.4537,1.0,11.70,14,"Southern California"
